titulo,autor,isbn,precio,condicion,tipo,categoria,foto_portada,resto_fotos
Crítica y ficción,Ricardo Piglia,,10000,como_nuevo,venta,ensayo,20260814_170150 (Copy),"20260814_170153 (Copy);20260814_170200 (Copy)"
Crítica y ficción,Ricardo Piglia,,10000,como_nuevo,venta,ensayo,20260814_170150 (Copy),"20260814_170153 (Copy);20260814_170200 (Copy)"
Crítica y ficción,Ricardo Piglia,,10000,como_nuevo,venta,ensayo,20260814_170150 (Copy),"20260814_170153 (Copy);20260814_170200 (Copy)"
Confesiones de un joven novelista,Umberto Eco,,10000,como_nuevo,venta,ensayo,20260814_170553 (Copy),"20260814_170555 (Copy);20260814_170603 (Copy)"
Confesiones de un joven novelista,Umberto Eco,,10000,como_nuevo,venta,ensayo,20260814_170553 (Copy),"20260814_170555 (Copy);20260814_170603 (Copy)"
Confesiones de un joven novelista,Umberto Eco,,10000,como_nuevo,venta,ensayo,20260814_170553 (Copy),"20260814_170555 (Copy);20260814_170603 (Copy)"
El silencio de tu nombre,Andrés Pérez Domínguez,,15000,como_nuevo,venta,novela,20260814_165454 (Copy),"20260814_165457 (Copy);20260814_165504 (Copy)"
El silencio de tu nombre,Andrés Pérez Domínguez,,15000,como_nuevo,venta,novela,20260814_165454 (Copy),"20260814_165457 (Copy);20260814_165504 (Copy)"
El silencio de tu nombre,Andrés Pérez Domínguez,,15000,como_nuevo,venta,novela,20260814_165454 (Copy),"20260814_165457 (Copy);20260814_165504 (Copy)"
Pero hermoso (un libro de jazz),Geoff Dyer,,15000,como_nuevo,venta,musica,20260814_165130 (Copy),"20260814_165133 (Copy);20260814_165138 (Copy)"
Pero hermoso (un libro de jazz),Geoff Dyer,,15000,como_nuevo,venta,musica,20260814_165130 (Copy),"20260814_165133 (Copy);20260814_165138 (Copy)"
Pero hermoso (un libro de jazz),Geoff Dyer,,15000,como_nuevo,venta,musica,20260814_165130 (Copy),"20260814_165133 (Copy);20260814_165138 (Copy)"
Que no muera la aspidistra,George Orwell,,15000,como_nuevo,venta,novela,20260814_170129 (Copy),"20260814_170133 (Copy);20260814_170139 (Copy)"
Que no muera la aspidistra,George Orwell,,15000,como_nuevo,venta,novela,20260814_170129 (Copy),"20260814_170133 (Copy);20260814_170139 (Copy)"
Que no muera la aspidistra,George Orwell,,15000,como_nuevo,venta,novela,20260814_170129 (Copy),"20260814_170133 (Copy);20260814_170139 (Copy)"
La llave del destino,Glenn Cooper,,15000,como_nuevo,venta,thriller,20260814_165758 (Copy),"20260814_165805 (Copy);20260814_165811 (Copy)"
La llave del destino,Glenn Cooper,,15000,como_nuevo,venta,thriller,20260814_165758 (Copy),"20260814_165805 (Copy);20260814_165811 (Copy)"
La llave del destino,Glenn Cooper,,15000,como_nuevo,venta,thriller,20260814_165758 (Copy),"20260814_165805 (Copy);20260814_165811 (Copy)"
La creatividad,Luis Bassat,,15000,como_nuevo,venta,ensayo,20260814_164909 (Copy),"20260814_164914 (Copy);20260814_164923 (Copy)"
La creatividad,Luis Bassat,,15000,como_nuevo,venta,ensayo,20260814_164909 (Copy),"20260814_164914 (Copy);20260814_164923 (Copy)"
La creatividad,Luis Bassat,,15000,como_nuevo,venta,ensayo,20260814_164909 (Copy),"20260814_164914 (Copy);20260814_164923 (Copy)"
Jakob von Gunten,Robert Walser,,15000,como_nuevo,venta,novela,20260814_170029 (Copy),"20260814_170032 (Copy);20260814_170039 (Copy)"
Jakob von Gunten,Robert Walser,,15000,como_nuevo,venta,novela,20260814_170029 (Copy),"20260814_170032 (Copy);20260814_170039 (Copy)"
Jakob von Gunten,Robert Walser,,15000,como_nuevo,venta,novela,20260814_170029 (Copy),"20260814_170032 (Copy);20260814_170039 (Copy)"
La reina traidora - La espía traidora III,Trudi Canavan,,15000,como_nuevo,venta,fantasia,20260814_165706 (Copy),"20260814_165709 (Copy);20260814_165719 (Copy)"
La reina traidora - La espía traidora III,Trudi Canavan,,15000,como_nuevo,venta,fantasia,20260814_165706 (Copy),"20260814_165709 (Copy);20260814_165719 (Copy)"
La reina traidora - La espía traidora III,Trudi Canavan,,15000,como_nuevo,venta,fantasia,20260814_165706 (Copy),"20260814_165709 (Copy);20260814_165719 (Copy)"
Romeo y Julieta - Edición bilingüe,William Shakespeare,,15000,como_nuevo,venta,teatro,20260814_170101 (Copy),"20260814_170104 (Copy);20260814_170110 (Copy)"
Romeo y Julieta - Edición bilingüe,William Shakespeare,,15000,como_nuevo,venta,teatro,20260814_170101 (Copy),"20260814_170104 (Copy);20260814_170110 (Copy)"
Romeo y Julieta - Edición bilingüe,William Shakespeare,,15000,como_nuevo,venta,teatro,20260814_170101 (Copy),"20260814_170104 (Copy);20260814_170110 (Copy)"
Sabotaje,Clive Cussler - Justin Scott,,20000,como_nuevo,venta,aventura,20260814_165346 (Copy),"20260814_165349 (Copy);20260814_165402 (Copy)"
Sabotaje,Clive Cussler - Justin Scott,,20000,como_nuevo,venta,aventura,20260814_165346 (Copy),"20260814_165349 (Copy);20260814_165402 (Copy)"
Sabotaje,Clive Cussler - Justin Scott,,20000,como_nuevo,venta,aventura,20260814_165346 (Copy),"20260814_165349 (Copy);20260814_165402 (Copy)"
El testamento de María,Colm Tóibín,,20000,como_nuevo,venta,novela,20260814_165157 (Copy),"20260814_165200 (Copy);20260814_165207 (Copy)"
El testamento de María,Colm Tóibín,,20000,como_nuevo,venta,novela,20260814_165157 (Copy),"20260814_165200 (Copy);20260814_165207 (Copy)"
El testamento de María,Colm Tóibín,,20000,como_nuevo,venta,novela,20260814_165157 (Copy),"20260814_165200 (Copy);20260814_165207 (Copy)"
Búscame donde nacen los dragos,Emma Lira,,20000,como_nuevo,venta,juvenil,20260814_165551 (Copy),"20260814_165554 (Copy);20260814_165559 (Copy)"
Búscame donde nacen los dragos,Emma Lira,,20000,como_nuevo,venta,juvenil,20260814_165551 (Copy),"20260814_165554 (Copy);20260814_165559 (Copy)"
Búscame donde nacen los dragos,Emma Lira,,20000,como_nuevo,venta,juvenil,20260814_165551 (Copy),"20260814_165554 (Copy);20260814_165559 (Copy)"
Más allá del sí,Erica Ariel Fox,,20000,como_nuevo,venta,ensayo,20260814_164753 (Copy),"20260814_164758 (Copy);20260814_164809 (Copy)"
Más allá del sí,Erica Ariel Fox,,20000,como_nuevo,venta,ensayo,20260814_164753 (Copy),"20260814_164758 (Copy);20260814_164809 (Copy)"
Más allá del sí,Erica Ariel Fox,,20000,como_nuevo,venta,ensayo,20260814_164753 (Copy),"20260814_164758 (Copy);20260814_164809 (Copy)"
El límite del deseo,Eve Berlin,,20000,como_nuevo,venta,romance,20260814_170440 (Copy),"20260814_170442 (Copy);20260814_170451 (Copy)"
El límite del deseo,Eve Berlin,,20000,como_nuevo,venta,romance,20260814_170440 (Copy),"20260814_170442 (Copy);20260814_170451 (Copy)"
El límite del deseo,Eve Berlin,,20000,como_nuevo,venta,romance,20260814_170440 (Copy),"20260814_170442 (Copy);20260814_170451 (Copy)"
El límite del placer,Eve Berlin,,20000,como_nuevo,venta,romance,20260814_170418 (Copy),"20260814_170421 (Copy);20260814_170425 (Copy)"
El límite del placer,Eve Berlin,,20000,como_nuevo,venta,romance,20260814_170418 (Copy),"20260814_170421 (Copy);20260814_170425 (Copy)"
El límite del placer,Eve Berlin,,20000,como_nuevo,venta,romance,20260814_170418 (Copy),"20260814_170421 (Copy);20260814_170425 (Copy)"
Un minuto antes de la oscuridad,Ismael Martínez Biurrun,,20000,como_nuevo,venta,novela,20260814_165027 (Copy),"20260814_165031 (Copy);20260814_165039 (Copy)"
Un minuto antes de la oscuridad,Ismael Martínez Biurrun,,20000,como_nuevo,venta,novela,20260814_165027 (Copy),"20260814_165031 (Copy);20260814_165039 (Copy)"
Un minuto antes de la oscuridad,Ismael Martínez Biurrun,,20000,como_nuevo,venta,novela,20260814_165027 (Copy),"20260814_165031 (Copy);20260814_165039 (Copy)"
El sueño del otro,Juan Jacinto Muñoz Rengel,,20000,como_nuevo,venta,novela,20260814_170509 (Copy),"20260814_170512 (Copy);20260814_170518 (Copy)"
El sueño del otro,Juan Jacinto Muñoz Rengel,,20000,como_nuevo,venta,novela,20260814_170509 (Copy),"20260814_170512 (Copy);20260814_170518 (Copy)"
El sueño del otro,Juan Jacinto Muñoz Rengel,,20000,como_nuevo,venta,novela,20260814_170509 (Copy),"20260814_170512 (Copy);20260814_170518 (Copy)"
¿Y tú qué clase de madre eres?,Paula Daly,,20000,como_nuevo,venta,thriller,20260814_164943 (Copy),"20260814_164946 (Copy);20260814_164958 (Copy)"
¿Y tú qué clase de madre eres?,Paula Daly,,20000,como_nuevo,venta,thriller,20260814_164943 (Copy),"20260814_164946 (Copy);20260814_164958 (Copy)"
¿Y tú qué clase de madre eres?,Paula Daly,,20000,como_nuevo,venta,thriller,20260814_164943 (Copy),"20260814_164946 (Copy);20260814_164958 (Copy)"
La vida que mereces,Álex Rovira - Pascual Olmos,,25000,como_nuevo,venta,autoayuda,20260814_170531 (Copy),"20260814_170533 (Copy);20260814_170539 (Copy)"
La vida que mereces,Álex Rovira - Pascual Olmos,,25000,como_nuevo,venta,autoayuda,20260814_170531 (Copy),"20260814_170533 (Copy);20260814_170539 (Copy)"
La vida que mereces,Álex Rovira - Pascual Olmos,,25000,como_nuevo,venta,autoayuda,20260814_170531 (Copy),"20260814_170533 (Copy);20260814_170539 (Copy)"
Ciudad de llegada,Doug Saunders,,25000,como_nuevo,venta,ensayo,20260814_164830 (Copy),"20260814_164835 (Copy);20260814_164842 (Copy)"
Ciudad de llegada,Doug Saunders,,25000,como_nuevo,venta,ensayo,20260814_164830 (Copy),"20260814_164835 (Copy);20260814_164842 (Copy)"
Ciudad de llegada,Doug Saunders,,25000,como_nuevo,venta,ensayo,20260814_164830 (Copy),"20260814_164835 (Copy);20260814_164842 (Copy)"
Plan D,Simón Urban,,25000,como_nuevo,venta,policial,20260814_164634 (Copy),"20260814_164637 (Copy);20260814_164643 (Copy)"
Plan D,Simón Urban,,25000,como_nuevo,venta,policial,20260814_164634 (Copy),"20260814_164637 (Copy);20260814_164643 (Copy)"
Plan D,Simón Urban,,25000,como_nuevo,venta,policial,20260814_164634 (Copy),"20260814_164637 (Copy);20260814_164643 (Copy)"
